original_file,generated_file,ssim,psnr,mse,color_distance,edge_consistency
TNTMEDIA-2552.jpg,TNTMEDIA-2552_catvton_00001_.png,0.8545909526851725,15.725164927539304,1740.0585753120058,0.08363963663578033,0.7401637566538434
TNTMEDIA-1188.jpg,TNTMEDIA-1188_catvton_00001_.png,0.8203782183604172,12.233229028358487,3888.2793424166666,0.1497099076708158,0.8235257386333188
TNTMEDIA-5.jpg,TNTMEDIA-5_catvton_00001_.png,0.8343390199471342,15.591059849784994,1794.6277376302082,0.020456189289689064,0.7629001054198468
TNTMEDIA-2525.jpg,TNTMEDIA-2525_catvton_00001_.png,0.9045203010789612,26.59288191310395,142.4925536179103,0.020728088915348053,0.8061598619123896
TNTMEDIA-2522.jpg,TNTMEDIA-2522_catvton_00001_.png,0.8668573635034305,14.548835328464039,2281.375787512592,0.0796252836783727,0.7557471942919312
TNTMEDIA-1051.jpg,TNTMEDIA-1051_catvton_00001_.png,0.8957163837290244,27.361491166048904,119.37990920833333,0.011999814615895351,0.8239771014020417
TNTMEDIA-30.jpg,TNTMEDIA-30_catvton_00001_.png,0.9270190426719097,26.16933843043369,157.08926866319445,0.047897989551226296,0.8355764796178792
TNTMEDIA-2563.jpg,TNTMEDIA-2563_catvton_00001_.png,0.918125625983274,25.07360745465285,202.1713520009931,0.09366069982449214,0.8125403714376427
TNTMEDIA-2550.jpg,TNTMEDIA-2550_catvton_00001_.png,0.8586974225771938,14.518525326953377,2297.353509354966,0.07603579883774121,0.7214857585875666
TNTMEDIA-1049.jpg,TNTMEDIA-1049_catvton_00001_.png,0.859274791773832,14.025711996369862,2573.4110487083335,0.10252831876277924,0.7851151719335332
TNTMEDIA-2519.jpg,TNTMEDIA-2519_catvton_00001_.png,0.9357586863234849,25.293393095544367,192.19454245791894,0.040016163140535355,0.8130404480549661
TNTMEDIA-2561.jpg,TNTMEDIA-2561_catvton_00001_.png,0.8895198635494544,16.587693159298375,1426.6289900861268,0.0612474170823892,0.8077814399092853
TNTMEDIA-2535.jpg,TNTMEDIA-2535_catvton_00001_.png,0.8690321188557272,12.841729730127973,3379.9275246358393,0.09544109304745992,0.7897089004989752
